training_size,accuracy,elapsed_time
20100,0.953,17.750505447387695
20200,0.953,17.784234285354614
20300,0.953,17.847816228866577
20400,0.953,17.90334391593933
20500,0.953,17.94869899749756
20600,0.953,18.016066789627075
20700,0.953,18.07498550415039
20800,0.952,18.154645919799805
20900,0.953,18.23717474937439
21000,0.954,18.29149603843689
21100,0.954,18.335566759109497
21200,0.953,18.424548387527466
21300,0.953,18.424604892730713
21400,0.954,18.52713179588318
21500,0.954,18.57186484336853
21600,0.953,18.60521650314331
21700,0.953,18.689870357513428
21800,0.953,18.73400568962097
21900,0.953,18.987407684326172
22000,0.953,18.967087030410767
22100,0.953,18.944989681243896
22200,0.953,19.020321369171143
22300,0.953,19.0801522731781
22400,0.953,19.142817497253418
22500,0.953,19.202149868011475
22600,0.952,19.25169563293457
22700,0.952,19.325570821762085
22800,0.953,19.39728546142578
22900,0.953,19.45908498764038
23000,0.953,19.512067317962646
23100,0.954,19.57016634941101
23200,0.954,19.624645471572876
23300,0.954,19.65118408203125
23400,0.954,19.72585964202881
23500,0.954,19.848655700683594
23600,0.954,19.873250246047974
23700,0.954,19.951815605163574
23800,0.954,19.993502855300903
23900,0.954,20.057076454162598
24000,0.954,20.10763430595398
24100,0.954,20.172420740127563
24200,0.954,20.228667974472046
24300,0.954,20.276912927627563
24400,0.955,20.332284212112427
24500,0.955,20.252927541732788
24600,0.955,20.189215898513794
24700,0.955,20.34299349784851
24800,0.956,20.42838215827942
24900,0.956,20.50905728340149
25000,0.956,20.416419506072998
25100,0.956,20.474941730499268
25200,0.957,20.813903331756592
25300,0.957,20.842353582382202
25400,0.957,20.92900800704956
25500,0.957,20.94540548324585
25600,0.957,20.86959671974182
25700,0.958,20.916712045669556
25800,0.958,21.106178522109985
25900,0.958,21.1991970539093
26000,0.958,21.270827293395996
26100,0.958,21.31487202644348
26200,0.957,21.37839698791504
26300,0.957,21.399999141693115
26400,0.957,21.46913504600525
26500,0.957,21.543520212173462
26600,0.957,21.643884897232056
26700,0.957,21.688915729522705
26800,0.958,21.731876850128174
26900,0.958,21.775794506072998
27000,0.958,21.870821952819824
27100,0.958,21.952768325805664
27200,0.958,22.00237774848938
27300,0.958,22.033238887786865
27400,0.958,21.851182460784912
27500,0.958,21.916082620620728
27600,0.958,21.941755294799805
27700,0.959,22.013734817504883
27800,0.96,22.07699465751648
27900,0.96,22.14754819869995
28000,0.959,22.192060470581055
28100,0.959,22.252960205078125
28200,0.959,22.306520223617554
28300,0.959,22.33961820602417
28400,0.959,22.400241136550903
28500,0.959,22.47352933883667
28600,0.959,22.552531480789185
28700,0.959,22.598437309265137
28800,0.958,22.65565276145935
28900,0.958,22.682353734970093
29000,0.958,22.767112731933594
29100,0.958,22.851036548614502
29200,0.958,22.886792182922363
29300,0.958,22.94798493385315
29400,0.958,22.988322257995605
29500,0.958,23.066787719726562
29600,0.958,23.127816438674927
29700,0.958,23.193548917770386
29800,0.958,23.26602792739868
29900,0.958,23.29257321357727
30000,0.957,23.37444043159485
30100,0.957,23.430546283721924
30200,0.957,23.5593364238739
30300,0.958,23.55809736251831
30400,0.958,23.61008930206299
30500,0.958,23.66191339492798
30600,0.958,23.723722219467163
30700,0.958,23.78504228591919
30800,0.959,29.51656985282898
30900,0.959,29.589147090911865
31000,0.959,29.61047124862671
31100,0.959,29.692671298980713
31200,0.959,29.74889349937439
31300,0.959,29.79534673690796
31400,0.959,29.853574514389038
31500,0.959,29.91940140724182
31600,0.959,29.938995599746704
31700,0.959,29.987277507781982
31800,0.959,30.541300296783447
31900,0.96,30.547638177871704
32000,0.96,30.56801962852478
32100,0.96,30.672762870788574
32200,0.96,30.774922370910645
32300,0.96,30.753248691558838
32400,0.961,30.803167819976807
32500,0.961,30.890287160873413
32600,0.961,30.992803812026978
32700,0.961,31.094984531402588
32800,0.961,30.98342251777649
32900,0.961,31.029804706573486
33000,0.961,31.06260871887207
33100,0.961,31.20982265472412
33200,0.961,31.174328327178955
33300,0.961,31.261675357818604
33400,0.961,31.305258989334106
33500,0.961,31.340076208114624
33600,0.962,31.39966344833374
33700,0.963,31.477185487747192
33800,0.963,31.528248071670532
33900,0.963,31.581961631774902
34000,0.962,31.644939422607422
34100,0.962,31.713181734085083
34200,0.962,31.732548475265503
34300,0.962,31.829389095306396
34400,0.962,31.885237216949463
34500,0.962,31.95256805419922
34600,0.962,32.015986919403076
34700,0.962,32.053582429885864
34800,0.962,32.09274935722351
34900,0.962,32.13963007926941
35000,0.962,32.25836634635925
35100,0.964,32.30674934387207
35200,0.964,32.29192781448364
35300,0.964,32.551952838897705
35400,0.964,32.61407470703125
35500,0.964,32.673266649246216
35600,0.964,32.78430962562561
35700,0.964,32.80412459373474
35800,0.964,32.825334310531616
35900,0.964,32.904096603393555
36000,0.964,32.967408657073975
36100,0.963,33.07328820228577
36200,0.963,33.12193989753723
36300,0.963,33.15292429924011
36400,0.963,33.20845627784729
36500,0.963,33.28685283660889
36600,0.963,33.36121869087219
36700,0.964,33.43022656440735
36800,0.964,33.51083970069885
36900,0.964,33.55938172340393
37000,0.964,33.610764503479004
37100,0.964,33.629101514816284
37200,0.964,33.71365308761597
37300,0.964,33.757856369018555
37400,0.964,33.82535219192505
37500,0.964,33.885945558547974
37600,0.965,33.93910527229309
37700,0.965,34.00549054145813
37800,0.965,34.05454063415527
37900,0.965,34.16584777832031
38000,0.966,34.231024980545044
38100,0.966,34.2237913608551
38200,0.966,34.31648063659668
38300,0.964,34.36045718193054
38400,0.964,34.45793104171753
38500,0.964,34.455971240997314
38600,0.964,34.49931263923645
38700,0.964,34.58048725128174
38800,0.964,34.57677245140076
38900,0.964,34.69748020172119
39000,0.964,34.72100353240967
39100,0.964,34.85890197753906
39200,0.964,34.876425981521606
39300,0.964,34.927746295928955
39400,0.964,34.9892144203186
39500,0.964,35.04337954521179
39600,0.964,35.150272369384766
39700,0.964,35.18667674064636
39800,0.964,35.24676036834717
39900,0.965,35.29367446899414
40000,0.965,35.34669756889343
40100,0.965,35.383100509643555
40200,0.965,35.50413775444031
40300,0.965,35.52760076522827
40400,0.965,35.51269578933716
40500,0.965,35.52810764312744
40600,0.965,35.727360248565674
40700,0.964,35.7582573890686
40800,0.964,35.7681827545166
40900,0.964,35.82380676269531
41000,0.964,35.934061765670776
41100,0.964,35.861783027648926
41200,0.964,35.88169980049133
41300,0.964,35.94764018058777
41400,0.964,35.98251914978027
41500,0.964,36.06817698478699
41600,0.964,36.10773015022278
41700,0.964,36.168675899505615
41800,0.964,36.25692009925842
41900,0.964,36.32088112831116
42000,0.964,36.35123133659363
42100,0.965,36.45802283287048
42200,0.965,36.480565309524536
42300,0.965,36.523193359375
42400,0.966,36.57048296928406
42500,0.966,36.59879946708679
42600,0.966,36.6940176486969
42700,0.966,36.74790906906128
42800,0.966,36.77976107597351
42900,0.966,36.889010429382324
43000,0.966,36.89445686340332
43100,0.966,36.69541096687317
43200,0.966,36.740447998046875
43300,0.966,36.7791006565094
43400,0.966,36.86032724380493
43500,0.966,37.41558051109314
43600,0.966,37.353599309921265
43700,0.966,36.996556758880615
43800,0.966,37.15373635292053
43900,0.965,37.17479372024536
44000,0.965,37.239845275878906
44100,0.965,37.27543830871582
44200,0.965,37.37748742103577
44300,0.965,37.42379355430603
44400,0.965,37.463046073913574
44500,0.965,37.55578660964966
44600,0.965,37.56362199783325
44700,0.965,37.593342304229736
44800,0.966,37.68823170661926
44900,0.966,37.736557483673096
45000,0.966,37.8149139881134
45100,0.966,37.86420202255249
45200,0.966,38.43879699707031
45300,0.966,38.49652123451233
45400,0.966,38.59457993507385
45500,0.966,38.65719151496887
45600,0.966,38.6865177154541
45700,0.966,38.72236704826355
45800,0.966,38.84726333618164
45900,0.966,38.34630846977234
46000,0.966,38.87996029853821
46100,0.967,38.89216947555542
46200,0.967,38.96495175361633
46300,0.967,39.074867725372314
46400,0.967,39.10324192047119
46500,0.967,39.14563226699829
46600,0.967,39.24761486053467
46700,0.967,39.305429458618164
46800,0.967,39.36221194267273
46900,0.967,39.409669637680054
47000,0.967,39.45773911476135
47100,0.967,39.542407751083374
47200,0.967,39.60445523262024
47300,0.967,39.64284896850586
47400,0.967,39.721293687820435
47500,0.967,39.7670636177063
47600,0.967,39.86605477333069
47700,0.967,39.86269974708557
47800,0.968,39.9664363861084
47900,0.968,39.99566197395325
48000,0.968,40.044251441955566
48100,0.968,40.11351561546326
48200,0.968,40.27143311500549
48300,0.968,40.29268479347229
48400,0.968,40.30621600151062
48500,0.968,40.371500968933105
48600,0.968,40.43662214279175
48700,0.968,40.512389183044434
48800,0.968,40.53591775894165
48900,0.968,40.02669167518616
49000,0.969,40.11065053939819
49100,0.969,40.168331146240234
49200,0.969,40.27957510948181
49300,0.969,40.3164119720459
49400,0.969,40.33540940284729
49500,0.969,40.449711322784424
49600,0.969,40.50226020812988
49700,0.969,40.55253601074219
49800,0.97,40.63177251815796
49900,0.97,40.64777874946594
50000,0.971,40.70840239524841
50100,0.97,40.80551886558533
50200,0.97,40.86608672142029
50300,0.97,40.92042660713196
50400,0.97,41.01257562637329
50500,0.97,41.007038831710815
50600,0.97,41.08673024177551
50700,0.971,41.144410610198975
50800,0.971,41.2067973613739
50900,0.971,41.24134635925293
51000,0.971,41.33520579338074
51100,0.971,41.38425898551941
51200,0.971,41.45923066139221
51300,0.971,41.49781942367554
51400,0.972,41.53722095489502
51500,0.972,41.611287117004395
51600,0.972,41.709349632263184
51700,0.972,41.71251130104065
